"","vs_cb_wr","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"47","Tyreek Hill",14.9,46.8,"12.82","1.45","Y","minus"
"48","Sammy Watkins",16,46.2,"12.43","1.04","Y","minus"
"49","Mike Williams",17,63.6,"14.48","1.83","Y","minus"
"50","Keenan Allen",8.9,52.2,"9.17","1.00","N","minus"
"51","Andre Patton",17.4,45.8,"16.30","1.41","N","minus"
"52","Brandin Cooks",16.7,56.7,"13.74","1.44","N","minus"
"53","Cooper Kupp",11.8,87.5,"17.71","2.43","N","minus"
"54","Robert Woods",13.4,52.5,"11.03","1.30","N","minus"
"55","DeVante Parker",11.8,43.8,"9.00","0.83","N","minus"
"56","Albert Wilson",12.6,54.2,"9.38","1.18","N","minus"
"57","Allen Hurns",12.2,58.8,"9.20","1.13","N","minus"
"58","Stefon Diggs",15.2,45.1,"15.43","1.38","Y","minus"
"59","Olabasi Johnson",17.7,61,"14.60","1.89","N","minus"
"60","Adam Thielen",15.9,59,"15.36","1.69","N","minus"
"61","Phillip Dorsett",12.6,50.9,"15.36","1.40","N","minus"
"62","Julian Edelman",7.2,69.2,"18.22","2.88","N","minus"
"63","Jakobi Meyers",12.5,46.8,"16.27","1.74","N","minus"
"64","Michael Thomas",10.6,50,"14.71","1.45","N","minus"
"65","TreQuan Smith",11.4,64.3,"9.78","1.27","N","minus"
"66","Ted Ginn",9.8,58.3,"9.00","1.28","N","minus"
"67","Darius Slayton",20.2,59.6,"16.29","2.03","N","minus"
"68","Golde Tate",16.3,61,"12.52","1.37","N","minus"
"69","Sterling Shepard",16.1,54.5,"14.33","1.69","N","minus"
"70","Robby Anderson",20.2,54.5,"13.50","1.55","N","minus"
"71","Jamison Crowder",14.3,63.2,"13.21","2.26","N","minus"
"72","Demaryius Thomas",20.4,49,"11.48","1.29","N","minus"
"73","Tyrell Williams",12.6,50,"11.22","1.39","N","minus"
"74","Keelan Doss",16.3,56,"12.43","1.58","N","minus"
"75","Zay Jones",12.7,61.4,"12.44","1.51","Y","minus"
"76","Alshon Jeffery",14.8,55.6,"16.40","1.80","N","minus"
"77","Nelson Agholor",11.2,84,"11.24","2.02","N","minus"
"78","JJ ArcegaWhiteside",14.5,45.8,"15.07","1.35","N","minus"
"79","Diontae Johnson",15.7,63.6,"9.90","1.89","Y","minus"
"80","JuJu SmithSchuster",13.5,73.7,"11.29","1.57","N","minus"
"81","James Washington",15.1,69.2,"13.11","2.22","N","minus"
"82","DK Metcalf",15.2,46.2,"12.72","1.36","N","minus"
"83","Tyler Lockett",14,60.4,"11.93","1.45","Y","minus"
"84","Josh Gordon",8.9,51.5,"12.53","1.34","N","minus"
"85","Deebo Samuel",10.7,50.9,"14.37","1.47","Y","minus"
"86","Kendrick Bourne",14,59.6,"14.43","1.97","N","minus"
"87","Emmanuel Sanders",19,54.9,"14.49","1.60","Y","minus"
"88","Mike Evans",15.5,59.5,"16.50","1.90","Y","minus"
"89","Chris Godwin",13.3,68.2,"10.87","1.56","N","minus"
"90","Breshad Perriman",11.8,66.7,"15.81","2.03","N","minus"
"91","AJ Brown",14.5,45.8,"15.93","1.49","N","minus"
"92","Adam Humphries",10.5,69.7,"10.78","1.81","N","minus"
"93","Corey Davis",15.7,56.4,"13.86","1.50","N","minus"
"94","Terry McLaurin",17.5,60.7,"18.32","2.01","Y","minus"
"95","Steve Sims",8.1,55.6,"19.13","2.06","N","minus"
"96","Paul Richardson",16.8,45.8,"15.45","1.42","Y","minus"
